"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"7C90688F5B7E4003BCB97BA96021C180","D14","JORN",,"31.1.1",32.592059,-106.843442,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","DIWI2","Dimorphocarpa wislizeni (Engelm.) Rollins","species",,,0.5,"N",34.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"85ADF03F4E014F7881603B3EADEBF68A","D14","JORN",,"41.1.1",32.592149,-106.843335,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","TECO","Tetraclea coulteri A. Gray","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"AC234919C27948E1B4297C7D49EE94D8","D14","JORN",,"41.4.1",32.592230,-106.843236,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","BOER4","Bouteloua eriopoda (Torr.) Torr.","species",,,0.5,"N",29.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"683D97CAF649441294BD0215692FB53F","D14","JORN",,"41.4.1",32.592230,-106.843236,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,1,"N",63.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"861B95F2309A4A469AF18D7494E26784","D14","JORN",,"31.4.1",32.592140,-106.843345,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","BOER4","Bouteloua eriopoda (Torr.) Torr.","species",,,3,"N",57.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"3084196657554655AF7253A164BBAA6A","D14","JORN",,"32.2.1",32.592056,-106.843240,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","BOER4","Bouteloua eriopoda (Torr.) Torr.","species",,,3,"N",50.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"E958238398DF44F185BB7ED56AE2A3AD","D14","JORN",,"32.2.1",32.592056,-106.843240,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","SPIN2","Sphaeralcea incana Torr. ex A. Gray","species",,,0.5,"N",0.5,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"0BBA63FDC1794F239162BCB2E6243028","D14","JORN",,"32.2.1",32.592056,-106.843240,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","SPFL2","Sporobolus flexuosus (Thurb. ex Vasey) Rydb.","species",,,4,"N",80.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"39A27F079AD641799DF0A560810CB095","D14","JORN",,"31.1.1",32.592059,-106.843442,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","APRA","Aphanostephus ramosissimus DC.","species",,,6,"N",24.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
"5921AAAE775A4AD695C23B3122472CE8","D14","JORN",,"31.4.1",32.592140,-106.843345,"WGS84",0.3,"2015-08-17",1,"DIV.JORN.2015.1","Y","ZIGR","Zinnia grandiflora Nutt.","species",,,2,"N",87.0,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0
