"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"D6E01842034B4FD5B898877ADF9EC4A3","D15","ONAQ",,"40",40.175331,-112.482518,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","CETE5","Ceratocephala testiculata (Crantz) Roth","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"AA06CC0D49BD4FC0BBF7CD4AA5864E56","D15","ONAQ",,"40",40.175331,-112.482518,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","LASE","Lactuca serriola L.","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"C7F948E39CD84624BF8772D55497769E","D15","ONAQ",,"40",40.175331,-112.482518,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"5AB146901B284C74A332809847C9832C","D15","ONAQ",,"40",40.175331,-112.482518,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BAAM4","Bassia americana (S. Watson) A.J. Scott","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"08B69126948E438680226F84AC6C434F","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","IPCO5","Ipomopsis congesta (Hook.) V.E. Grant","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"4F48616789FF4CB6A491A43E3D5394A0","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","PHHO","Phlox hoodii Richardson","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"26093D66B2EF4D779AD0D108B9FC7028","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","PSSP6","Pseudoroegneria spicata (Pursh) Á. Löve","species","cf. species",,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"B55594B536A946E792C6D6D8CE32AE0C","D15","ONAQ",,"40",40.175331,-112.482518,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","PHHO","Phlox hoodii Richardson","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"09414E605DAC48E191DE319484E577FE","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"1765698809834C908294F352C565AA23","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BRTE","Bromus tectorum L.","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"BD20F2ED28014654A6499D061710D92B","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","CHDO","Chaenactis douglasii (Hook.) Hook. & Arn.","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"74AB50C7A6E7435EA612E6B87726AD92","D15","ONAQ",,"31",40.175240,-112.482519,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"A5AF9186A0AC4B739081A410E10D9FCD","D15","ONAQ",,"31",40.175240,-112.482519,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"FDAFED9DED564AA6B488FAB01A68434E","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ALDE","Alyssum desertorum Stapf","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"A257429D52AC4AFE9C78D835217ECBD5","D15","ONAQ",,"32",40.175234,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"855DA9650F6644FC9471C5401EBF8830","D15","ONAQ",,"31",40.175240,-112.482519,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ALDE","Alyssum desertorum Stapf","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"E58E159E46764F8FB45E0F23DE5035C0","D15","ONAQ",,"31",40.175240,-112.482519,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"5EFD2F061EC845E9BEA3EA8D57020EC3","D15","ONAQ",,"31",40.175240,-112.482519,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","CETE5","Ceratocephala testiculata (Crantz) Roth","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"48C26366BB574B879691FCE05ACB7138","D15","ONAQ",,"41",40.175330,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","GIIN2","Gilia inconspicua (Sm.) Sweet","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"A25349DA39BF46928B16E9791861FCBF","D15","ONAQ",,"41",40.175330,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","OPUNT","Opuntia sp.","genus",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
"0236463F4416487FA05569DD4C6B82E1","D15","ONAQ",,"41",40.175330,-112.482403,"WGS84",2.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0,0
