"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"9BC359437FD64406A191011BD00C0916","D15","ONAQ",,"41.1.10",40.175298,-112.482442,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"EDB3060FE6094EF2BE222584DC745EA2","D15","ONAQ",,"41.4.10",40.175356,-112.482361,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BAAM4","Bassia americana (S. Watson) A.J. Scott","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"A19B5AE424394D5BBFF79696FB475864","D15","ONAQ",,"41.4.10",40.175356,-112.482361,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"D27A527B8D09424B9B23C38CE4C9E9B3","D15","ONAQ",,"41.4.10",40.175356,-112.482361,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"6A0BC5D7BD4C4B4F9A13115A8247667D","D15","ONAQ",,"40.3.10",40.175361,-112.482559,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"FBA48AFEE65348F98C4E66FD374C79CD","D15","ONAQ",,"41.1.10",40.175298,-112.482442,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"886B8F33E26044E9B687C01973ED1DC8","D15","ONAQ",,"41.1.10",40.175298,-112.482442,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BROMU","Bromus sp.","genus","cf. genus",,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"C03C1BE2CCB14D4EA4AA66FF01DD57C3","D15","ONAQ",,"32.2.10",40.175204,-112.482362,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","PSSP6","Pseudoroegneria spicata (Pursh) Á. Löve","species","cf. species",,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"492414EA0C91478FA7E8701FA551951C","D15","ONAQ",,"32.2.10",40.175204,-112.482362,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BRTE","Bromus tectorum L.","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"DDDE5F06326640D28CCB0026B731DFB6","D15","ONAQ",,"41.4.10",40.175356,-112.482361,"WGS84",1.1,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","CETE5","Ceratocephala testiculata (Crantz) Roth","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
