"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"0C3B2B5F126546D78336F4AB0FE8249A","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ALDE","Alyssum desertorum Stapf","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0
"6F89837916154F23ACBE0BA66E93F4B6","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BROMU","Bromus sp.","genus","cf. genus",,0.5,"N",9.0,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0
"E5753574DBBD4A5A9C5D62C75C6D8D2B","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,1,"N",23.0,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0
"D38B605AFE344D91AE0F0050E98FD741","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,,,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,"no cover or height data",0,0
"E47837BEB2194F9A982FE589F371CFEE","D15","ONAQ",,"32.4.1",40.175276,-112.482351,"WGS84",0.4,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,1,"N",24.2,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0
"3590E2E3B34E439783FEFC29F83517E3","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,0.5,"N",13.0,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0
"F4203E3B7AAE4E5589627149AA14B61C","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BROMU","Bromus sp.","genus","cf. genus",,0.5,"N",13.0,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0
"4CEAD815109F4F48B7C962FC20186FC9","D15","ONAQ",,"31.4.1",40.175279,-112.482466,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,0.5,"N",11.2,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"5C6E52E4CBD047F2A2A9646BEE83EA66","D15","ONAQ",,"31.4.1",40.175279,-112.482466,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","PHHO","Phlox hoodii Richardson","species",,,0.5,"N",6.5,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"DC596656352C4E1EA2F8652E6B1A31CA","D15","ONAQ",,"32.2.1",40.175195,-112.482349,"WGS84",0.4,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","PHHO","Phlox hoodii Richardson","species",,,1,"N",3.3,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0
