"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"3A13C13F64ED462A9E118E0CCF3495D5","D15","ONAQ",,"40.1.1",40.175290,-112.482570,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","litter",2,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"03F41D62AC844A94A44EEEFA32858CC7","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","lichen",0.5,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"F04B4ECB23524EB18DD1BC1185775B31","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","standingDead",4,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"AA0A443685B744ECAC55E8DA529F908C","D15","ONAQ",,"40.3.1",40.175371,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","wood",3,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"A5F9C7EFFF7F4AD5B62E2D8B4B3D6FD1","D15","ONAQ",,"40.3.1",40.175371,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","soil",22,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"5788E851E0D64826A489E0C6BF47318F","D15","ONAQ",,"32.4.1",40.175276,-112.482351,"WGS84",0.4,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","standingDead",1,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"55FA7F78B5CB40A394B258F0710845E9","D15","ONAQ",,"32.4.1",40.175276,-112.482351,"WGS84",0.4,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","litter",3,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"D176D0F75EAE4559912276F268E80A24","D15","ONAQ",,"31.1.1",40.175199,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","rock",2,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"A1A43821F6C843E89D86C1CA61EDE944","D15","ONAQ",,"31.4.1",40.175279,-112.482466,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","wood",5,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"47064829A5C7493F9D3AD67CF420225B","D15","ONAQ",,"31.4.1",40.175279,-112.482466,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","lichen",0.5,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"05A147D91E16483CA9D91C206306C9C3","D15","ONAQ",,"40.1.1",40.175290,-112.482570,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","wood",4,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"DF83FCC20024477EBE32FFAFC8AEBE81","D15","ONAQ",,"40.1.1",40.175290,-112.482570,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"D6B63EBEE3074A9F8867200E2C19AA85","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","litter",2,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"71F20E62B80D43E0BDDDDF364EF6E978","D15","ONAQ",,"31.1.1",40.175199,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","litter",4,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"FFDC4FC395CD440F8CFC888028C494F4","D15","ONAQ",,"31.1.1",40.175199,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","moss",3,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"00FE9C34AFF04FF5A56514618D32D32E","D15","ONAQ",,"31.1.1",40.175199,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","soil",74,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"3DC38EA275E54E2089D887499828C619","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","lichen",0.5,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"8B541EE238C84F538B0A03C9FC2ED5BD","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","scat",0.5,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"B1413A30195B4F63ADF15794DBBB3C1D","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","moss",5,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"FD97B6D463D34D51B7BBBDA7E9704578","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","wood",2,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"502CF0E861DC4ACFA626AE9B434FE7F0","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","rock",1,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"D4D6B94A936145E492D8FF942A14BBBE","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","moss",5,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"E2452858D17843E1BBFFC0A3CF498D9C","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","rock",2,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"6FF8DA57E727488C82A353F488CCFA4F","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","wood",3,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"DC2350B5A4C74D4EA689469DDD6043FA","D15","ONAQ",,"41.4.1",40.175366,-112.482349,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","soil",3,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"F27EC9BFB57442518E10EFF17D2CCCD9","D15","ONAQ",,"40.3.1",40.175371,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","rock",1,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"0E70B5CABE524653B486F1FA9DB86C76","D15","ONAQ",,"40.3.1",40.175371,-112.482572,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","moss",12,"NEON.DOC.014042","jdFp/E+zhg275wdNAb0YCHFei8RgiAto","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"9B612B4645974E2393A67FD466894E07","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","litter",1,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
"C9AD6D8C080D4B9580686DF997C99BCB","D15","ONAQ",,"41.1.1",40.175288,-112.482455,"WGS84",0.3,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","soil",18,"NEON.DOC.014042","xwW9faweG9yezxUGEB9quDydrYQYJWI4","jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,0
