"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"4E13D8E6F74D441E9E1CF17FA2522079","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","GUTIE","Gutierrezia sp.","genus","cf. genus",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"3E5ED679D079440BB07CFD23BA7DB981","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POSE","Poa secunda J. Presl","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"F6EAFE5CD08A48428B47381770C5B7A9","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","PSSP6","Pseudoroegneria spicata (Pursh) Á. Löve","species","cf. species",,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"441CABE18DC345B38D55A3DA0FA0F3A6","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","LASE","Lactuca serriola L.","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"10F8A4E5176F45FFA0ABA1202EB76AB0","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","GIIN2","Gilia inconspicua (Sm.) Sweet","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"A1358680A07447DB88A282D3E972F0CA","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"67770DB82E31446CA1C0F854D99D0863","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ARTR2","Artemisia tridentata Nutt.","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"6E4137F008B546978A27944F52E72AA4","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","EROV","Eriogonum ovalifolium Nutt.","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"0A833C5D2FC54D9F95787DAFC0E7A0EE","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","CETE5","Ceratocephala testiculata (Crantz) Roth","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"F50E50A00C8544F3A7D497C1E1491414","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","species",,,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0
"6E51B7D5E144467E9C3EC5350CB0762C","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","POBU","Poa bulbosa L.","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"A5DEB7B60460417982873B34CD404D15","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","BROMU","Bromus sp.","genus","cf. genus",,"NEON.DOC.014042",,"xwW9faweG9yezxUGEB9quDydrYQYJWI4","might be young BRTE",,,0,0,0
"F0A4BAB1DE2645B3A2F4485A28A33F70","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","species",,,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"2621FC6682B3418B83D158BC33ADA4C5","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","CHVI8","Chrysothamnus viscidiflorus (Hook.) Nutt.","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"7DB5A2AFCC09493E957E010123E825DF","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","DESCU","Descurainia sp.","genus","cf. genus",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
"763C45CAC1024464BF80E0D060F81F3E","D15","ONAQ",,,,,,"shrubScrub",,,"2014-06-04",1,"DIV.ONAQ.2014.1","Y","ALDE","Alyssum desertorum Stapf","species","cf. species",,"NEON.DOC.014042",,"jdFp/E+zhg275wdNAb0YCHFei8RgiAto",,,,0,0,0
